,concede,goal,margin,mode,opponent,season
104,2.0,0.0,-2.0,H,Manchester City,2013
105,0.0,2.0,2.0,H,West Bromwich Albion,2013
106,2.0,1.0,-1.0,A,West Ham United,2013
107,1.0,0.0,-1.0,A,Stoke City,2013
108,0.0,1.0,1.0,H,Swansea City,2013
109,3.0,0.0,-3.0,H,Arsenal,2013
110,2.0,2.0,-0.0,A,Fulham,2013
111,3.0,1.0,-2.0,A,Aston Villa,2013
112,3.0,1.0,-2.0,A,Manchester United,2013
113,2.0,0.0,-2.0,H,Everton,2013
114,0.0,1.0,1.0,A,Queens Park Rangers,2014
115,1.0,1.0,0.0,H,Stoke City,2014
116,2.0,1.0,-1.0,A,Aston Villa,2014
117,2.0,2.0,0.0,H,West Ham United,2014
118,2.0,2.0,-0.0,A,Newcastle United,2014
119,4.0,2.0,-2.0,H,Manchester City,2014
120,0.0,2.0,2.0,H,Crystal Palace,2014
121,2.0,2.0,-0.0,A,Arsenal,2014
122,0.0,0.0,-0.0,A,Liverpool,2014
123,1.0,0.0,-1.0,H,Southampton,2014
124,1.0,0.0,-1.0,A,Burnley,2014
125,2.0,1.0,-1.0,H,Tottenham Hotspur,2014
126,3.0,0.0,-3.0,A,Manchester United,2014
127,1.0,1.0,-0.0,A,Everton,2014
128,0.0,0.0,0.0,H,West Bromwich Albion,2014
129,2.0,0.0,-2.0,A,Chelsea,2014
130,1.0,0.0,-1.0,H,Swansea City,2014
131,1.0,3.0,2.0,A,Sunderland,2014
132,1.0,0.0,-1.0,H,Leicester City,2014
133,0.0,2.0,2.0,H,Everton,2014
134,1.0,0.0,-1.0,A,West Bromwich Albion,2014
135,3.0,0.0,-3.0,A,West Ham United,2014
136,3.0,0.0,-3.0,H,Newcastle United,2014
137,1.0,1.0,-0.0,A,Manchester City,2014
138,0.0,2.0,2.0,H,Aston Villa,2014
139,1.0,2.0,1.0,H,Queens Park Rangers,2014
140,1.0,0.0,-1.0,A,Stoke City,2014
141,1.0,1.0,0.0,H,Sunderland,2014
142,0.0,0.0,-0.0,A,Leicester City,2014
143,3.0,2.0,-1.0,H,Chelsea,2014
144,3.0,1.0,-2.0,A,Swansea City,2014
145,2.0,0.0,-2.0,A,Southampton,2014
146,0.0,2.0,2.0,A,Crystal Palace,2014
147,0.0,1.0,1.0,H,Liverpool,2014
148,3.0,1.0,-2.0,H,Arsenal,2014
149,1.0,0.0,-1.0,H,Burnley,2014
150,2.0,0.0,-2.0,A,Tottenham Hotspur,2014
